original_name,wikidata_id,aliases,relationships,brands,status,aliases_text,num_aliases,brands_text,num_brands,num_subsidiaries,num_parent_organizations,num_successors,num_predecessors,subsidiary_names,brand_names
Groupon,Q852787,"['Groupon, Inc.', 'Groupon']","{'subsidiaries': ['Q12988581'], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}","['Savored', 'Groupon MyCityDeal']",found,"Groupon, Inc.|Groupon",2,Savored|Groupon MyCityDeal,2,1,0,0,0,LivingSocial,Savored|Groupon MyCityDeal
Linoma Software,Q6554725,['Linoma Software'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Linoma Software,1,,0,0,0,0,0,,
Comcast Corporation,Q1113804,"['Comcast Corporation', 'Comcast Holdings', 'Comcast']","{'subsidiaries': ['Q724759', 'Q918390', 'Q60740233'], 'parent_organizations': [], 'successors': [], 'predecessors': ['Q304509'], 'replaces': [], 'replaced_by': []}",[],found,Comcast Corporation|Comcast Holdings|Comcast,3,,0,3,0,0,1,NBCUniversal|Sky Group|Comcast Ventures,
"American Greetings Corporation, LLC",Q464767,"['American Greetings Corporation', 'American Greetings Corporation, LLC', 'American Greetings']","{'subsidiaries': ['Q5042968', 'Q113677692'], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,"American Greetings Corporation|American Greetings Corporation, LLC|American Greetings",3,,0,2,0,0,0,Carlton Cards|Gibson Greetings,
Avenir,Q11959773,['Avenir'],"{'subsidiaries': [], 'parent_organizations': ['Q1749905'], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Avenir,1,,0,0,1,0,0,,
EchoStar,Q1280748,['EchoStar'],"{'subsidiaries': ['Q29113539', 'Q29113540', 'Q29113541'], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,EchoStar,1,,0,3,0,0,0,EchoStar (United Kingdom)|Echostar (Ukraine)|EchoStar (India),
Panasas,Q7130061,"['VDURA', 'Panasas, Inc.', 'Panasas']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,"VDURA|Panasas, Inc.|Panasas",3,,0,0,0,0,0,,
X-IO Technologies,Q55948832,['X-IO Technologies'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,X-IO Technologies,1,,0,0,0,0,0,,
bitComposer,Q16827428,"['bitComposer Games GmbH', 'bitcomposer Entertainment']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,bitComposer Games GmbH|bitcomposer Entertainment,2,,0,0,0,0,0,,
ClassLink,Q134969739,[],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,,0,,0,0,0,0,0,,
WANdisco,Q7946626,"['WANdisco, plc.', 'WANdisco']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,"WANdisco, plc.|WANdisco",2,,0,0,0,0,0,,
Leap Motion,Q6509916,"['Leap Motion, Inc.', 'OcuSpec Inc.', 'Leap Motion']","{'subsidiaries': [], 'parent_organizations': ['Q110178483'], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,"Leap Motion, Inc.|OcuSpec Inc.|Leap Motion",3,,0,0,1,0,0,,
